标题,公众号,文章发布时间,文章地址
"宁德时代登陆韩国市场,MY2013起亚Kiro BEV",汽车电子设计,2022-09-13 09:12:14,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0-8ig6Ajt9mwCjR5dgUTXFBKP860Fx_QlqXa8Fplpd9ufTP2N7SdIfJZ_nbyzON0LAJAzIePKPOMTPP0c2yGHJGb1Qh-qrsAhiSXWmkQoQuFShHFMwF42pVx2Y5YcN0ewifaXozzOsaEg5J-soY9VpEkqVIKGe0KszZkshcE5jpLgBqDNmVnQhTO2g0_Ve3xGZGr4BtWQzpDO6l-sqy4kdFH6In5Ei3zg..&type=2&query=%E5%AE%81%E5%BE%B7%E6%97%B6%E4%BB%A3&token=A26CABD21ACAADFD8A8F6300D1307AB68B1A420B63203E30
与宁德时代、亿纬锂能达成超百亿欧元合作 宝马集团2025年将使用圆柱电芯,中国经营报车视界,2022-09-12 22:02:47,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0-8ig6Ajt9mwCjR5dgUTXFBKP860Fx_QlqXa8Fplpd91kNxBsIPA6k4DuQF4ICJmfw09i1giTw6wcZoiT22xNaZmaHw1lvAmlVEyaw_Emy_WmHgHxNRQ-idB5B8oTmrSZ_2DJfpWQsq4OM-fEt6iVgFF3EIXSLExCQ_TcS3aEB-JvXLqfy7H7eE-kPI3tb-wXyrFPOhcYQ-y0v1LPhNJIZOJBjQH7pCxQ..&type=2&query=%E5%AE%81%E5%BE%B7%E6%97%B6%E4%BB%A3&token=A26CABD21ACAADFD8A8F6300D1307AB68B1A420B63203E30
"芯驰将向宁德时代供应百万MCU芯片,年底出货量达300万片|最前线",36氪,2022-08-29 21:30:56,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0-8ig6Ajt9mwCjR5dgUTXFBKP860Fx_QlqXa8Fplpd9A34qq7BHnhuCq2tjZOKnmrtUS7eyngDa6fpbWCwZ_mk89BCz9LNWN40PVMKjCgejWAM_h_sVIxo6DJssheq48DmNCXDRcbX3My3jrQ7NjE1d5FOY3tGxFbeyXnR4jGTzrd_ooxkbiX2HPvQ9Igvd4Aur4VW5IaLiFPO8WlqbBhBCy6umSSPEsg..&type=2&query=%E5%AE%81%E5%BE%B7%E6%97%B6%E4%BB%A3&token=A26CABD21ACAADFD8A8F6300D1307AB68B1A420B63203E30
行业资讯||宁德时代与宝马集团达成圆柱电池供应框架协议;年产15万辆!比亚迪首个海外新能源乘用车工厂落地泰国……,卡斯夫,2022-09-13 08:09:24,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0-8ig6Ajt9mwCjR5dgUTXFBKP860Fx_QlqXa8Fplpd9S5vCDhv4vVE5jx-58khevncDUQD-nVjyFZN-0vUJA1SQWThZqNpIJOfk73HWG8En3TTkv4TjQzvuTlg1DDn372j_dT20U-MP0SjSxrO7XfnJ6BzJ3QzegZQIKjI8T8rPLAxIoXkW6Ae9ALNRDmT5vwIDW5_LgqrlP1Y6WBHJFGwSYTqT4eyLmA..&type=2&query=%E5%AE%81%E5%BE%B7%E6%97%B6%E4%BB%A3&token=A26CABD21ACAADFD8A8F6300D1307AB68B1A420B63203E30
“紧随宁德时代”  多家上市公司落子厦门,车圈层,2022-09-13 08:00:04,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0-8ig6Ajt9mwCjR5dgUTXFBKP860Fx_QlqXa8Fplpd9Bv-Mrpz1TL1WH_SLlXM62aY2asWprMftxpnacCwrDV4IBXDYUN3CUQ-J2AakRmPIDufmN6DNryQB5WWMrPufv2I9UJD2pr4EmjHf8YZN6gJL_Ui6bnLHHRwlDWtSBVzoQZpyL1CiP0cd3ZW24cMKGvZIOJc0j0yPUFqvG8UbRO15Nu7CnoSqqg..&type=2&query=%E5%AE%81%E5%BE%B7%E6%97%B6%E4%BB%A3&token=A26CABD21ACAADFD8A8F6300D1307AB68B1A420B63203E30
宁德时代被严重高估了?,虎嗅APP,2021-07-31 12:29:47,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0-8ig6Ajt9mwCjR5dgUTXFBKP860Fx_QlqXa8Fplpd9SGgBx_WN3OjZER38Uu73zxRNmSPlbSfu0AHJHs152qaS814Lmq74H-6eKiDQ9G9QXG_7_TGEW_rS27y-TRq3FJL-RGpLjKhCQr48czrlBrqbhep_-NHoKn9IMhYCDiatm_gQOIjsN-swMli8eo5VudhcoX4vRqJvJMJAE8SCJCs89kyxDwoXvg..&type=2&query=%E5%AE%81%E5%BE%B7%E6%97%B6%E4%BB%A3&token=A26CABD21ACAADFD8A8F6300D1307AB68B1A420B63203E30
"2020,宁德时代走入“围城”",钛媒体,2020-09-30 13:05:48,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0-8ig6Ajt9mwCjR5dgUTXFBKP860Fx_QlqXa8Fplpd98rQ02ZTBg8dx6663BNN67Nfxp9TtCMLZsetEZJXFkWuGrWBzcVBwhXHoiWtdU4PujFbAVSa1pi9flDqmJ7kpcKikoVafg0i1mT9FeKUNFJK4PhHKmr7n6COHIWdlLNAzoRq_LLHCoGU3Hv60sxkZPReyMqT8opyacmCnpFlIaglf_71bqkOtiw..&type=2&query=%E5%AE%81%E5%BE%B7%E6%97%B6%E4%BB%A3&token=A26CABD21ACAADFD8A8F6300D1307AB68B1A420B63203E30
叶檀:宁德时代凭什么 我去了趟宁德亲口问了问 | 新实体企业,叶檀财经,2022-01-25 22:00:36,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0-8ig6Ajt9mwCjR5dgUTXFBKP860Fx_QlqXa8Fplpd9Fh2XeuwrrD8-TScx4kInqQT-7FmjJYUQzOLCC-kUKypxAY-b5jqI5C1kONMs-n1Uycejl7CVR6P1lCBCjPWWzBSgf8Q1GPnqTTyV7Jrwr6qvW9iMpoBBPTdOosQn2f5rNiLlpy7wr0r29MVIahsW7MGvMxbNZ4FwFPv4AQwC3JPYl_Q5RRZQjg..&type=2&query=%E5%AE%81%E5%BE%B7%E6%97%B6%E4%BB%A3&token=A26CABD21ACAADFD8A8F6300D1307AB68B1A420B63203E30
宁德时代又急了,中国企业家杂志,2022-02-14 19:39:30,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0-8ig6Ajt9mwCjR5dgUTXFBKP860Fx_QlqXa8Fplpd9uk0IPznv-232hr60EorugLvTOXKIncI-6H4V_rrcFzMeej4L81L2HMGWawXlkeEcaKiBJiVRMQd-c4Ul4uUJFpIzmPU7Lzx6omjP4JggcRtqjA7poG-KZc2UCdKzZbBZF__0aIZVdooGD33Du4F-86olUGlpx42CNuN6wKyBYOjI3OTRHYU2og..&type=2&query=%E5%AE%81%E5%BE%B7%E6%97%B6%E4%BB%A3&token=A26CABD21ACAADFD8A8F6300D1307AB68B1A420B63203E30
"惋惜!宁德时代荣誉董事长张毓捷病逝,曾打造全球最大电池生产商",21世纪经济报道,2022-02-15 19:40:20,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0-8ig6Ajt9mwCjR5dgUTXFBKP860Fx_QlqXa8Fplpd9G9UDVRN-yTMBzEW2dJF8aOl5PJeI-LVNyAzYaoy8SMtDAGt9MF_COiJWEE87qVLLI4adn8hwYBUjcyXPidc9jdYgFhxlwwiR7GHcr-j1W-xPRV6kdPJylcgA1X0G9FcE2GO3sJ0rHzGcNTiz3lrYwmbFhpxCRS2A6ER4eOhq4_s89kyxDwoXvg..&type=2&query=%E5%AE%81%E5%BE%B7%E6%97%B6%E4%BB%A3&token=A26CABD21ACAADFD8A8F6300D1307AB68B1A420B63203E30
